_id,LOCATIONID,ASSET_ID,ASSET_NAME,TYPE,AMENITIES,ADDRESS,PHONE,URL,geometry
108,248,792,OSLER PLAYGROUND,Park,"Dog Off-Leash Area, Playground",123 Argyle St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=248,"{""coordinates"": [[-79.4222447266431, 43.6460341700338]], ""type"": ""MultiPoint""}"
109,2146,104,BIRCHVIEW BOULEVARD PARKETTE,Park,None,38 Birchview Blvd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2146,"{""coordinates"": [[-79.5153046429738, 43.6474943351106]], ""type"": ""MultiPoint""}"
110,473,328,EDWARDS GARDENS,Park,Washroom,755 Lawrence Ave E,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=473,"{""coordinates"": [[-79.3602091741865, 43.7332304851635]], ""type"": ""MultiPoint""}"
111,870,1007,SUMMERLEA PARK,Park,"Ball Diamond, Basketball Court, Cricket Pitch Field, Playground, Sports Field, Tennis Court, Washroom",2 Arcot Blvd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=870,"{""coordinates"": [[-79.5485540135118, 43.7306176078324]], ""type"": ""MultiPoint""}"
112,38,679,MARIAN ENGEL PARK,Park,Playground,285 Melita Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=38,"{""coordinates"": [[-79.4241663160034, 43.6737727661673]], ""type"": ""MultiPoint""}"
113,3827,72662,40 POWER ST PARK,Park,None,48 Power St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=3827,"{""coordinates"": [[-79.3630102989288, 43.654282873638]], ""type"": ""MultiPoint""}"
114,995,1025,TAMARISK PARK,Park,Playground,47 Kiskadee Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=995,"{""coordinates"": [[-79.5983956891668, 43.7334561606758]], ""type"": ""MultiPoint""}"
115,2550,851,ELIJAH PARK,Park,Playground,117 Rajah St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2550,"{""coordinates"": [[-79.4368011521627, 43.7314307941346]], ""type"": ""MultiPoint""}"
116,2356,1338,GREY PARKETTE,Park,None,122 Grey Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2356,"{""coordinates"": [[-79.4228857013163, 43.7312517877034]], ""type"": ""MultiPoint""}"
117,2037,537,JACK GOODLAD PARK,Park,"Ball Diamond, Basketball Court, Picnic Site, Playground",929 Kennedy Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2037,"{""coordinates"": [[-79.2699166054359, 43.7424487224288]], ""type"": ""MultiPoint""}"
